element,position,multiplier,is_captain,is_vice_captain,element_type,name,value
502,1,1,False,False,1,Sels,5.0
568,2,1,False,False,2,Pedro Porro,5.6
506,3,1,False,False,2,Murillo,5.5
191,4,1,False,False,2,Estève,4.0
580,5,1,False,False,3,B. Johnson,7.1
381,6,1,False,True,3,M.Salah,14.5
450,7,2,True,False,3,Cunha,8.0
427,8,1,False,False,3,Reijnders,5.7
82,9,1,False,False,3,Semenyo,7.4
249,10,1,False,False,4,João Pedro,7.7
283,11,1,False,False,4,Mateta,7.5
470,12,0,False,False,1,Dúbravka,4.0
441,13,0,False,False,2,Dorgu,4.5
347,14,0,False,False,2,Gudmundsson,4.0
100,15,0,False,False,4,Kroupi.Jr,4.5
